%	"NGRIP, GRIP and GISP2 ?18O and calcium concentration in 50 yrs means on the GICC05modelext timescale"
%
%   Please note that this file has been modified for the SEAMUS tutorial by Bryan Lougheed (duplicate measurements averaged)
%   This file is, therefore, only meant for demonstration purposes for the SEAMUS tutorial and not to be used for research.
%   For the original data, please consult the original excel file by the original authors, which you can download from here: http://www.iceandclimate.nbi.ku.dk/data/
%
%	2	3	4	5	6	7	8	9	10	11	12	13
%Age	NGRIP1 depth	d18O NGRIP1	NGRIP2 depth	d18O NGRIP2	[Ca2+] NGRIP2	GRIP depth	d18O GRIP	[Ca2+] GRIP	GISP2 depth	d18O GISP2	[Ca2+] GISP2	MCE
%(years b2k)	(m)	(?)	(m)	(?)	(ppb)	(m)	(?)	(ppb)	(m)	(?)	(ppb)	(years)
30500	NaN	NaN	1914.48	-44.52	310.02	2066.05	-42.21	416.44	2095.88	-41.15	362.29	1000
30550	NaN	NaN	1915.25	-43.7	416.04	2066.72	-41.73	372.63	2096.5	-41.51	355.58	1005
30600	NaN	NaN	1916.08	-43.5	316.73	2067.43	-42.04	255.47	2097.18	-42.77	253.91	1008
30650	NaN	NaN	1916.93	-43.09	203.5	2068.16	-40.92	213.99	2097.87	-41.99	242.46	1012
30700	NaN	NaN	1917.81	-42.73	145.11	2068.86	-40.35	151.78	2098.59	-42.05	154.08	1016
30750	NaN	NaN	1918.89	-42.34	113.54	2069.71	-40.12	108.06	2099.47	-41.11	114.6	1020
30800	NaN	NaN	1919.83	-42.84	140.85	2070.54	-40.21	141.64	2100.28	-41.16	132.73	1023
30850	NaN	NaN	1920.74	-43.98	229.02	2071.34	-42.09	240.59	2101.06	-42.17	204.46	1025
30900	NaN	NaN	1921.61	-43.03	320.27	2072.1	-41.1	299.63	2101.81	-41.09	316.15	1029
30950	NaN	NaN	1922.4	-44.36	290.17	2072.8	-42.15	351.47	2102.49	-42.97	298.26	1034
31000	NaN	NaN	1923.16	-44.25	392.87	2073.46	-41.92	387.61	2103.14	-42.83	331.65	1038
31050	NaN	NaN	1923.96	-43.29	342.98	2074.17	-42.33	323.16	2103.83	-42.09	277.96	1040
31100	NaN	NaN	1924.78	-43.9	398.7	2074.89	-41.41	286.91	2104.53	-43.18	426.66	1043
31150	NaN	NaN	1925.63	-43.6	362.67	2075.64	-41.63	331.36	2105.26	-42.07	342.42	1047
31200	NaN	NaN	1926.36	-43.83	389.82	2076.28	-42.11	380.12	2105.89	-42.53	359.71	1049
31250	NaN	NaN	1927.14	-44.22	395.02	2076.96	-41.26	321.77	2106.56	-41.28	332.03	1053
31300	NaN	NaN	1927.94	-43.73	295.74	2077.67	-41.4	335.04	2107.25	-41.43	333.49	1057
31350	NaN	NaN	1928.7	-43.17	357.42	2078.34	-41.72	329.3	2107.9	-42.63	342.08	1062
31400	NaN	NaN	1929.45	-44.71	426.13	2078.99	-42.14	337.69	2108.54	-42.54	345.69	1065
31450	NaN	NaN	1930.23	-43.61	369.69	2079.68	-41.29	337.22	2109.21	-42.67	301.9	1067
31500	NaN	NaN	1930.96	-42.77	377.67	2080.33	-41.54	352.78	2109.84	-41.35	376.68	1072
31550	NaN	NaN	1931.7	-43.96	395.34	2080.98	-42.41	377.88	2110.47	-42.36	363.25	1075
31600	NaN	NaN	1932.51	-44.22	390.15	2081.69	-42.48	354.34	2111.15	-42.64	322.15	1080
31650	NaN	NaN	1933.31	-43.97	463.33	2082.39	-42.56	307.23	2111.83	NaN	320.57	1084
31700	NaN	NaN	1934.11	-43.95	329.03	2083.09	-42.39	310.24	2112.5	-43.25	310	1089
31750	NaN	NaN	1934.97	-42.89	321.8	2083.85	-41.47	263.91	2113.23	-41.72	277.96	1091
31800	NaN	NaN	1935.79	-44.07	260.12	2084.57	-41.98	249.28	2113.92	-42.04	233.06	1094
31850	NaN	NaN	1936.59	-43.83	248.44	2085.27	-41.25	213	2114.6	-41.73	188.35	1097
31900	NaN	NaN	1937.36	-44.15	204.75	2085.94	-41.56	165.1	2115.25	-42.08	176	1100
31950	NaN	NaN	1938.13	-43.56	196.04	2086.62	-41.42	150.49	2115.9	-42.25	136	1102
32000	NaN	NaN	1938.95	-43.31	161.45	2087.34	-40.56	131.61	2116.59	-40.81	128.17	1103
32050	NaN	NaN	1939.88	-43.69	175.24	2088.16	-40.67	144.26	2117.35	-40.54	95.5	1107
32100	NaN	NaN	1940.9	-41.36	87.16	2089.07	-40.03	75.13	2118.21	-39.83	61.46	1111
32150	NaN	NaN	1942.09	-41.65	92.75	2090.13	-40.22	68.37	2119.23	-40.09	61.97	1114
32200	NaN	NaN	1943.31	-40.72	68.74	2091.22	-39.09	56.55	2120.26	-39.32	47.03	1118
32250	NaN	NaN	1944.49	-40.35	66.3	2092.28	-39	53.17	2121.27	-39.13	40.23	1122
32300	NaN	NaN	1945.83	-40.48	55.93	2093.46	-38.51	39.01	2122.43	-39.09	34.69	1123
32350	NaN	NaN	1947.24	-40.34	60.36	2094.74	-38.69	49.21	2123.67	-38.85	37.99	1125
32400	NaN	NaN	1948.59	-39.82	64.5	2095.98	-38.6	44.3	2124.84	-38.02	34.86	1129
32450	NaN	NaN	1950.1	-39.89	56.96	2097.42	-38.61	58.65	2126.18	-38.12	40.18	1130
32500	NaN	NaN	1951.65	-39.26	60.88	2098.81	-38.42	45.13	2127.53	-38.47	47.33	1132
32550	NaN	NaN	1952.59	-43.07	198.9	2099.62	-40.99	163.09	2128.33	-41.21	165.41	1133
32600	NaN	NaN	1953.27	-43.87	316.46	2100.21	-41.53	265.4	2128.9	-41.85	215.65	1136
32650	NaN	NaN	1954.07	-43.98	356.19	2100.9	-40.79	278.83	2129.58	-41.29	257.65	1141
32700	NaN	NaN	1954.82	-44.21	361.21	2101.55	-41.8	360.92	2130.22	-41.42	260.5	1145
32750	NaN	NaN	1955.54	-43.96	302.31	2102.17	-41.61	232.14	2130.83	-42.37	294.75	1150
32800	NaN	NaN	1956.25	-44.32	355.13	2102.78	-41.53	293.58	2131.43	-42.29	285.07	1157
32850	NaN	NaN	1956.96	-45.2	327.7	2103.4	-41.59	317.06	2132.03	-42.66	311.73	1162
32900	NaN	NaN	1957.72	-44.79	349.78	2104.05	-41.62	308.19	2132.67	-43.03	237.8	1166
32950	NaN	NaN	1958.42	-43.55	369.94	2104.66	-42.07	381.71	2133.27	-41.53	274.88	1169
33000	NaN	NaN	1959.16	-43.29	321.93	2105.29	-42.04	327.79	2133.9	-42.46	294.1	1171
33050	NaN	NaN	1959.88	-43.49	376.59	2105.92	-41.69	333.55	2134.51	-42.52	300.43	1173
33100	NaN	NaN	1960.55	-43.97	361.34	2106.49	-43.22	393.03	2135.07	-42.88	339.87	1174
33150	NaN	NaN	1961.21	-43.92	416.61	2107.06	-42.5	295.34	2135.63	-41.71	244.25	1176
33200	NaN	NaN	1961.91	-42.96	308.78	2107.67	-41.59	303.21	2136.23	-42.85	265.85	1181
33250	NaN	NaN	1962.62	-43.57	332.42	2108.28	-40.97	282.34	2136.83	-42.27	210.45	1184
33300	NaN	NaN	1963.32	-43.57	315.92	2108.88	-41.57	232.46	2137.42	-43.78	224.69	1188
33350	NaN	NaN	1964.12	-44.36	206.71	2109.57	-41.8	220.74	2138.1	-42.83	138.06	1191
33400	NaN	NaN	1965.14	-41.69	169.63	2110.45	-41.03	129.13	2138.96	-41.23	84.59	1192
33450	NaN	NaN	1966.47	-41.06	89.24	2111.6	-39.68	65.65	2140.09	-39.73	50.25	1194
33500	NaN	NaN	1967.79	-39.69	62.98	2112.74	-39.53	47.47	2141.21	-39.3	36.92	1196
33550	NaN	NaN	1969.25	-40.15	62.15	2114	-39.12	45.43	2142.45	-38.94	36.85	1197
33600	NaN	NaN	1970.7	-39.7	59.33	2115.25	-38.84	48.31	2143.68	-38.93	39.87	1201
33650	NaN	NaN	1972.03	-39.88	63.12	2116.44	-39.13	54.54	2144.84	-38.98	43.57	1204
33700	NaN	NaN	1973.59	-39.03	55.08	2117.82	-37.66	41.95	2146.28	-37.96	33.93	1209
33750	NaN	NaN	1974.73	-40.4	77.31	2118.72	-38.87	60.42	2147.28	-40.06	66.62	1213
33800	NaN	NaN	1975.62	-41.97	162.61	2119.43	-40.74	167.94	2148.06	-40.77	156.64	1220
33850	NaN	NaN	1976.51	-42.31	246.72	2120.14	-41.6	187.79	2148.83	-41.05	187.47	1223
33900	NaN	NaN	1977.33	-42.72	310.61	2120.79	-41.33	260.39	2149.55	-41.97	203.35	1226
33950	NaN	NaN	1978.14	-43.26	328.5	2121.43	-42.02	302.23	2150.25	-41.36	234.5	1230
34000	NaN	NaN	1978.9	-43.47	289.44	2122.03	-41.25	275.42	2150.92	-41.7	293.78	1233
34050	NaN	NaN	1979.7	-42.39	310.58	2122.67	-40.2	314.98	2151.61	-42.28	307.64	1238
34100	NaN	NaN	1980.42	-43.07	257.53	2123.24	-41.82	300.3	2152.23	-41.51	292.34	1241
34150	NaN	NaN	1981.2	-42.94	247.55	2123.85	-40.2	283.51	2152.87	-40.64	247.52	1243
34200	NaN	NaN	1981.91	-42.72	259.3	2124.42	-41.57	270.91	2153.45	-41.44	301.41	1246
34250	NaN	NaN	1982.69	-42.48	277.07	2125.04	-42.15	273.59	2154.08	-41.32	307.29	1252
34300	NaN	NaN	1983.48	-42.91	291.24	2125.66	-40.8	250.82	2154.73	-42.02	311.98	1255
34350	NaN	NaN	1984.22	-43.37	272.82	2126.35	-41.39	260.59	2155.33	-42.02	299.08	1259
34400	NaN	NaN	1984.99	-43.24	320.61	2127.08	-41.36	255.05	2155.96	-42.22	292.95	1262
34450	NaN	NaN	1985.82	-43.1	269.18	2127.86	-41.8	239.41	2156.64	-42.19	272.71	1266
34500	NaN	NaN	1986.56	-42.12	214.43	2128.55	-40.72	240.52	2157.24	-41.83	243.73	1269
34550	NaN	NaN	1987.29	-43.13	215.53	2129.24	-41.27	253.7	2157.84	-42.35	208.53	1272
34600	NaN	NaN	1988	-43.15	263.83	2129.9	-41.03	207.57	2158.42	-41.22	177.14	1275
34650	NaN	NaN	1988.73	-43.4	191.58	2130.48	-41.41	193.24	2159.06	-42.58	196.59	1279
34700	NaN	NaN	1989.58	-41.74	148.78	2131.16	-41.7	162.98	2159.8	-42	155.62	1282
34750	NaN	NaN	1990.52	-42.76	121.33	2131.99	-40.35	114.54	2160.61	-40.91	78.35	1286
34800	NaN	NaN	1991.75	-40.16	54.55	2133.09	-39.39	53.56	2161.72	-39.29	41.07	1289
34850	NaN	NaN	1993.05	-40.63	58.75	2134.24	-39.02	45.84	2162.89	-39.55	46.09	1292
34900	NaN	NaN	1994.21	-40.58	61.16	2135.24	-39.75	58.77	2163.92	-39.44	52.73	1294
34950	NaN	NaN	1995.43	-40.96	74	2136.31	-39.84	61.47	2164.99	-39.88	60.59	1296
35000	NaN	NaN	1996.54	-40.94	69.87	2137.28	-39.73	62.62	2166	-40.26	58.17	1298
35050	NaN	NaN	1997.82	-40.49	63.71	2138.39	-39.26	50.31	2167.16	-40.07	57.79	1299
35100	NaN	NaN	1999.04	-39.3	47.6	2139.45	-38.11	46.14	2168.23	-38.89	34.68	1301
35150	NaN	NaN	2000.34	-40.33	49.39	2140.61	-38.51	44.11	2169.44	-39.22	37.89	1304
35200	NaN	NaN	2001.7	-39.51	50.72	2141.84	-37.74	34.17	2170.68	-38.25	34.68	1307
35250	NaN	NaN	2003.07	-39.46	53.88	2143.06	-38.31	39.82	2171.95	-38.23	39.38	1309
35300	NaN	NaN	2004.43	-39.73	51.87	2144.25	-38.45	40.9	2173.21	-38.91	41.78	1311
35350	NaN	NaN	2005.83	-39.37	42.75	2145.48	-38.35	38.2	2174.49	-38.25	32.57	1314
35400	NaN	NaN	2007.16	-38.84	42.69	2146.65	-38.08	41.73	2175.72	-38.17	32.88	1317
35450	NaN	NaN	2008.61	-38.6	36.01	2147.94	-37.48	33.57	2177.07	-38.01	31.25	1319
35500	NaN	NaN	2009.93	-40.03	85.11	2149.12	-38.7	87.41	2178.23	-39.43	74.33	1321
35550	NaN	NaN	2010.87	-42.85	220.36	2149.95	-41.21	218.46	2179.02	-41.38	200.71	1324
35600	NaN	NaN	2011.65	-42.92	279.92	2150.58	-41.93	202.83	2179.68	-41.86	219.12	1326
35650	NaN	NaN	2012.36	-42.85	268.35	2151.15	-40.95	239.42	2180.29	-42.13	259.03	1328
35700	NaN	NaN	2013.11	-42.45	244.57	2151.75	-40.51	245.3	2180.93	-40.9	203.23	1332
35750	NaN	NaN	2013.89	-41.35	246.94	2152.37	-41.2	241.77	2181.59	-42.09	194.15	1336
35800	NaN	NaN	2014.58	-43.33	263.82	2152.92	-40.64	276.81	2182.18	-42.48	202.17	1338
35850	NaN	NaN	2015.32	-43.61	267.77	2153.51	-42.03	260.78	2182.81	-42.07	242.46	1343
35900	NaN	NaN	2016.04	-44.89	326.03	2154.08	-41.28	267.73	2183.43	-41.99	252.55	1348
35950	NaN	NaN	2016.75	-43.01	283.43	2154.65	-41.16	269.16	2184.03	-40.97	222.35	1351
36000	NaN	NaN	2017.51	-43	328.37	2155.25	-43.16	300.07	2184.68	-43.4	275.08	1355
36050	NaN	NaN	2018.24	-43.14	281.32	2155.83	-42.03	295.31	2185.3	-43.76	295.94	1357
36100	NaN	NaN	2018.98	-43.49	304.16	2156.42	-41.32	289.82	2185.93	-41.92	285.06	1361
36150	NaN	NaN	2019.7	-42.87	266.72	2157	-41.01	288.58	2186.55	-41.72	259.05	1365
36200	NaN	NaN	2020.42	-41.77	340.68	2157.57	-41.12	266.49	2187.16	-41.64	218.36	1368
36250	NaN	NaN	2021.16	-42.99	309.17	2158.16	-41.3	232.41	2187.79	-41.78	254.79	1373
36300	NaN	NaN	2021.94	-43.91	283.28	2158.78	-41.18	237.81	2188.46	-41.6	223.91	1374
36350	NaN	NaN	2022.68	-42.59	255.81	2159.37	-41.88	283.46	2189.09	-42.15	254.44	1378
36400	NaN	NaN	2023.5	-41.91	235.46	2160.02	-41.77	269.76	2189.8	-41.56	238.25	1382
36450	NaN	NaN	2024.34	-43.05	261.54	2160.69	-41.4	205.98	2190.52	-41.81	188.11	1386
36500	NaN	NaN	2025.35	-42.19	205.37	2161.5	-40.96	164.65	2191.38	-41.15	159.37	1391
36550	NaN	NaN	2026.18	-42.41	181.37	2162.16	-41.52	141.69	2192.09	-41.91	150.96	1395
36600	NaN	NaN	2027.03	-42.79	158.86	2162.87	-40.58	125.76	2192.84	-41.72	135.99	1398
36650	NaN	NaN	2027.97	-41.25	97.23	2163.65	-39.93	77.76	2193.67	-40.47	79.05	1402
36700	NaN	NaN	2029.03	-40.87	63.88	2164.53	-39.09	61.84	2194.6	-39.5	61.52	1403
36750	NaN	NaN	2030.1	-40.94	64.66	2165.43	-39.2	55.31	2195.57	-39.02	50.66	1404
36800	NaN	NaN	2031.2	-41.34	65.92	2166.37	-38.92	59.84	2196.57	-40	57.58	1405
36850	NaN	NaN	2032.42	-40.56	64.83	2167.4	-39.15	57.46	2197.66	-38.97	58.75	1407
36900	NaN	NaN	2033.57	-41.37	91.9	2168.36	-40.23	77.42	2198.69	-39.97	92.35	1411
36950	NaN	NaN	2034.51	-41.58	94.38	2169.15	-40.19	89.45	2199.53	-40.94	79.62	1412
37000	NaN	NaN	2035.62	-41.35	68.92	2170.08	-39.07	71.05	2200.54	-40.35	63.33	1413
37050	NaN	NaN	2036.74	-41.04	59.62	2171.06	-39.85	46.98	2201.56	-41.05	66.55	1415
37100	NaN	NaN	2037.8	-40.98	73.14	2171.99	-39.48	63.29	2202.54	-39.7	59.58	1416
37150	NaN	NaN	2038.89	-40.66	67.23	2172.93	-39.5	36.21	2203.51	-39.54	55.59	1419
37200	NaN	NaN	2040.22	-40.16	46.55	2174.09	-38.59	34.79	2204.72	-38.76	31.31	1420
37250	NaN	NaN	2041.57	-39.51	44.61	2175.29	-38.68	34.25	2206.01	-38.49	35.89	1421
37300	NaN	NaN	2042.92	-40.03	38.8	2176.5	-38.51	33.84	2207.3	-38.83	39.14	1422
37350	NaN	NaN	2044.28	-39.13	41.18	2177.71	-38.39	29.1	2208.56	-38.47	32.76	1425
37400	NaN	NaN	2045.54	-40.37	45.14	2178.8	-38.64	39.68	2209.69	NaN	37.47	1426
37450	NaN	NaN	2046.96	-39.9	44.31	2180.07	-38.36	33.93	2211.02	-38.73	34.85	1426
37500	NaN	NaN	2048.37	-38.55	40.34	2181.3	-38.46	34.79	2212.29	-38.16	33.24	1428
37550	NaN	NaN	2049.83	-39.46	42.94	2182.61	-37.73	29.36	2213.61	-38.06	54.35	1428
37600	NaN	NaN	2051.29	-38.52	43.17	2183.89	-38.34	26.83	2214.96	-38.67	35.49	1429
37650	NaN	NaN	2052.72	-39.38	38.47	2185.15	-38.01	29.34	2216.3	-37.98	30.13	1430
37700	NaN	NaN	2054.25	-38.68	42.68	2186.51	-38.47	30.42	2217.71	-37.99	30.86	1431
37750	NaN	NaN	2055.71	-38.96	45.37	2187.78	-38.43	26.27	2219.06	-37.81	33.05	1432
37800	NaN	NaN	2057.08	-38.94	43.43	2188.98	-37.62	31.93	2220.32	-37.56	35.15	1433
37850	NaN	NaN	2058.57	-39.06	43.07	2190.29	-37.55	29.71	2221.69	-37.59	26.61	1434
37900	NaN	NaN	2060.05	-39.33	42.63	2191.59	-37.8	31.65	2223.04	-37.47	31.55	1436
37950	NaN	NaN	2061.54	-39.18	41	2192.9	-37.78	27.84	2224.4	-37.92	30.53	1438
38000	NaN	NaN	2063.13	-38.52	40.26	2194.31	-37.91	27.75	2225.87	-37.68	36.52	1438
38050	NaN	NaN	2064.62	-38.55	39.31	2195.61	-37.36	28.29	2227.22	-37.5	49.5	1441
38100	NaN	NaN	2066.22	-38.82	41.49	2197.03	-37.16	32.01	2228.67	-37.41	30.19	1444
38150	NaN	NaN	2067.94	-38.03	37.85	2198.5	-36.93	29.03	2230.25	-37.23	27.04	1446
38200	NaN	NaN	2069.5	-38.15	37.73	2199.87	-37.03	29.47	2231.63	-37.06	31.8	1448
38250	NaN	NaN	2070.55	-40.9	111.91	2200.76	-39.62	83.59	2232.61	-40.03	124.92	1451
38300	NaN	NaN	2071.33	-41.94	190.97	2201.39	-40.78	164.09	2233.23	-41.13	199.63	1452
38350	NaN	NaN	2072.22	-42.44	244.8	2202.12	-39.83	188.37	2233.94	-41.08	254.44	1455
38400	NaN	NaN	2072.99	-42.78	235.16	2202.75	-40.74	209.54	2234.56	-41.73	279.71	1460
38450	NaN	NaN	2073.74	-41.61	298.9	2203.36	-40.57	213.72	2235.16	-42.07	261.27	1463
38500	NaN	NaN	2074.52	-42.55	283.43	2204	-41.37	238.04	2235.78	-40.75	223.32	1465
38550	NaN	NaN	2075.24	-43.18	267.86	2204.58	-40.94	174.38	2236.36	-41.7	196.1	1469
38600	NaN	NaN	2076.04	-42.27	231.77	2205.24	-41.25	263.35	2237	-41.06	234.56	1470
38650	NaN	NaN	2076.74	-43.08	292.07	2205.81	-41.46	262.78	2237.56	-41.91	264.86	1472
38700	NaN	NaN	2077.49	-43.15	282.14	2206.42	-41.36	212.14	2238.16	-40.53	262.2	1475
38750	NaN	NaN	2078.23	-43.08	369.64	2207.01	-42.39	278.07	2238.76	-41.18	265.07	1477
38800	NaN	NaN	2079.03	-43.74	298.39	2207.63	-42.07	236.25	2239.4	-41.7	242.69	1479
38850	NaN	NaN	2079.74	-43.44	275.17	2208.19	-41.91	194.3	2239.97	-40.8	222.04	1481
38900	NaN	NaN	2080.47	-42.23	268.24	2208.75	-41.69	278.96	2240.55	-41.7	246.71	1482
38950	NaN	NaN	2081.27	-42.84	288.98	2209.37	-41.54	253.83	2241.2	-41.26	276.54	1486
39000	NaN	NaN	2082.05	-41.75	317.66	2209.98	-40.86	377.63	2241.82	-41.27	279.48	1491
39050	NaN	NaN	2082.83	-44.41	302.12	2210.58	-41.49	292.18	2242.45	-41.9	348.76	1496
39100	NaN	NaN	2083.51	-43.03	335.15	2211.11	-41.71	254.01	2242.99	-41.77	290.26	1498
39150	NaN	NaN	2084.2	-43.71	319.7	2211.65	-41.43	282.61	2243.54	-41.41	271.2	1501
39200	NaN	NaN	2084.96	-43.21	331.62	2212.24	-42.45	310.83	2244.15	-41.07	316.89	1504
39250	NaN	NaN	2085.66	-43.64	306.5	2212.78	-41.14	279.31	2244.72	-40.61	324.91	1509
39300	NaN	NaN	2086.37	-43.64	367.51	2213.33	-41.91	338.54	2245.28	-40.44	359.43	1513
39350	NaN	NaN	2087.08	-43.35	433.47	2213.88	-40.58	373.39	2245.85	-41.05	351.53	1518
39400	NaN	NaN	2087.84	-43.29	374.45	2214.47	-42.92	419.89	2246.46	-42.51	372.64	1522
39450	NaN	NaN	2088.56	-42.37	402.6	2215.03	-42.05	351.98	2247.04	-42.07	361.52	1527
39500	NaN	NaN	2089.21	-43.92	437.9	2215.53	-41.56	412.99	2247.56	-42.13	453.23	1531
39550	NaN	NaN	2089.9	-43.66	466.33	2216.07	-42.2	410.27	2248.11	-42.18	450.67	1534
39600	NaN	NaN	2090.59	-42	412.58	2216.61	-41.56	454.05	2248.67	-41.35	478.55	1541
39650	NaN	NaN	2091.27	-43.89	548.83	2217.13	-41.1	404.64	2249.21	-41.39	402.69	1545
39700	NaN	NaN	2091.94	-42.49	472.35	2217.65	-41.04	439.35	2249.75	-41.52	514.39	1548
39750	NaN	NaN	2092.6	-43.4	412.89	2218.17	-41.16	391.02	2250.28	-42.07	505.06	1555
39800	NaN	NaN	2093.23	-42.81	402.26	2218.65	-41.29	342.39	2250.78	-41.61	368.4	1559
39850	NaN	NaN	2093.87	-43.23	446.31	2219.15	-41.33	325.6	2251.3	-41.52	435.6	1565
39900	NaN	NaN	2094.64	-43.34	368.94	2219.75	-41.67	327.23	2251.92	-40.78	375.03	1569
39950	NaN	NaN	2095.43	-42.25	279.42	2220.36	-40.58	254.66	2252.54	-41.23	334.97	1571
40000	NaN	NaN	2096.31	-41.33	159.73	2221.04	-40.43	119.6	2253.23	-40.69	191.41	1574
40050	NaN	NaN	2097.36	-40.69	82.5	2221.86	-39.57	68.11	2254.05	-39.4	92.63	1575
40100	NaN	NaN	2098.4	-40.12	56.15	2222.67	-38.93	58.93	2254.9	-38.63	62.3	1577
40150	NaN	NaN	2099.45	-40.37	81.16	2223.48	-38.95	76.37	2255.81	-39.12	73.94	1579
40200	NaN	NaN	2100.35	-42.52	173.43	2224.19	-40.55	123.62	2256.56	-40.52	206.17	1582
40250	NaN	NaN	2101.12	-42.58	241.53	2224.81	-41.29	197.42	2257.18	-40.32	256.96	1585
40300	NaN	NaN	2101.93	-42.13	249.4	2225.46	-40.19	190.92	2257.83	-39.94	277.4	1587
40350	NaN	NaN	2102.77	-42.11	201.97	2226.13	-40.57	183.78	2258.51	-40.48	259.51	1590
40400	NaN	NaN	2103.59	-42.17	204.61	2226.79	-40.7	191.94	2259.17	-40.22	218.74	1594
40450	NaN	NaN	2104.29	-42.36	207.79	2227.34	-40.55	173.98	2259.74	-41.79	213.17	1597
40500	NaN	NaN	2105.04	-42.46	210.57	2227.92	-40.64	169.89	2260.34	-41.35	262.88	1599
40550	NaN	NaN	2105.8	-41.85	183.81	2228.52	-40.59	185.66	2260.95	-40.29	249.54	1602
40600	NaN	NaN	2106.57	-43.12	219.36	2229.12	-41.7	191.64	2261.57	-41.05	266.78	1606
40650	NaN	NaN	2107.38	-43.5	183.85	2229.75	-42.19	200.23	2262.23	-40.85	286.08	1607
40700	NaN	NaN	2108.16	-42.85	213.88	2230.35	-40.05	164.41	2262.85	-41.03	230.7	1609
40750	NaN	NaN	2108.97	-43.48	222.65	2230.99	-41.81	191.79	2263.51	-42.49	297.94	1612
40800	NaN	NaN	2109.71	-43.75	274.1	2231.56	-42.02	227.99	2264.1	-41.65	268.42	1615
40850	NaN	NaN	2110.52	-41.56	214.31	2232.19	-39.42	169.77	2264.76	-40.62	241.36	1617
40900	NaN	NaN	2111.37	-42.28	143.48	2232.86	-40.38	126.75	2265.44	-41.05	182.41	1618
40950	NaN	NaN	2112.19	-41.93	105.52	2233.53	-40.18	82.41	2266.14	-40.57	128.97	1620
41000	NaN	NaN	2113.17	-41.03	76.4	2234.34	-40.02	61.8	2267	-40.01	91.44	1622
41050	NaN	NaN	2114.23	-40.3	62.38	2235.23	-38.99	48.74	2267.93	-38.87	66.21	1623
41100	NaN	NaN	2115.2	-39.76	54.26	2236.03	-38.69	51.42	2268.78	-38.78	54.71	1624
41150	NaN	NaN	2116.32	-39.75	62.23	2236.97	-39.03	56.68	2269.75	-38.47	67.45	1625
41200	NaN	NaN	2117.49	-40.1	66.92	2237.95	-39.23	58.08	2270.78	-39.02	92.89	1625
41250	NaN	NaN	2118.65	-39.75	63.84	2238.92	-38.66	45.97	2271.8	-39.16	57.82	1627
41300	NaN	NaN	2119.93	-39.31	48.77	2239.97	-38.5	47.55	2272.91	-39.04	54.57	1628
41350	NaN	NaN	2121.14	-39.76	48.21	2240.96	-38.4	41.43	2273.96	-37.99	46.19	1631
41400	NaN	NaN	2122.45	-38.89	44.53	2242.02	-37.78	39.44	2275.07	-38.1	46	1632
41450	NaN	NaN	2123.82	-38.61	46.19	2243.1	-37.63	33.24	2276.22	-37.76	50.09	1633
41500	NaN	NaN	2124.72	-41.85	148.96	2243.81	-39.57	77.32	2276.98	-40.54	170.01	1635
41550	NaN	NaN	2125.51	-41.94	208.3	2244.44	-40.21	203.73	2277.64	-40.73	314	1639
41600	NaN	NaN	2126.21	-43.1	351.8	2244.99	-41.23	278.05	2278.19	-41.38	428.8	1642
41650	NaN	NaN	2126.92	-41.99	321.7	2245.55	-40.66	298.77	2278.76	-40.8	329.13	1648
41700	NaN	NaN	2127.64	-42.94	315.75	2246.12	-41.63	349.4	2279.34	-41.2	379.01	1652
41750	NaN	NaN	2128.34	-42.28	320.37	2246.68	-40.66	311.46	2279.91	-40.78	422.99	1655
41800	NaN	NaN	2129.02	-43.43	369.9	2247.21	-41.32	319.92	2280.46	-41.73	421.61	1658
41850	NaN	NaN	2129.72	-42.25	404.84	2247.77	-41	457.7	2281.01	-41.17	403.03	1660
41900	NaN	NaN	2130.38	-42.78	302.6	2248.29	-41.92	275.22	2281.53	-41.49	354.42	1662
41950	NaN	NaN	2131.08	-42.93	357.24	2248.84	-42.27	365.5	2282.08	-41.54	329.42	1665
42000	NaN	NaN	2131.73	-42.72	318.27	2249.36	-41.23	376.45	2282.59	-41.54	418.22	1669
42050	NaN	NaN	2132.41	-42.72	309.12	2249.89	-41.44	280.58	2283.13	-41.66	359.54	1672
42100	NaN	NaN	2133.12	-42.79	371.37	2250.45	-41.92	342.77	2283.69	-41.41	397.57	1674
42150	NaN	NaN	2133.79	-41.96	298.54	2250.98	-42.18	285.81	2284.21	-41.58	297.07	1677
42200	NaN	NaN	2134.45	-42.18	241.81	2251.51	-40.63	194.53	2284.73	-41.9	262.89	1679
42250	NaN	NaN	2135.13	-42.06	152.04	2252.04	-40.72	139.9	2285.27	-40.43	134.63	1683
42300	NaN	NaN	2136	-41.58	83.68	2252.76	-39.58	72.37	2285.99	-39.35	83.57	1685
42350	NaN	NaN	2136.88	-40.6	67.13	2253.48	-38.83	55.76	2286.72	-39.53	73.56	1688
42400	NaN	NaN	2137.75	-40.85	68.09	2254.19	-40.07	60.42	2287.42	-39.6	68.09	1691
42450	NaN	NaN	2138.65	-40.76	75.2	2254.92	-39.82	67.51	2288.15	-39.86	77.58	1695
42500	NaN	NaN	2139.54	-41.77	66.06	2255.65	-39.94	58.65	2288.87	-39.09	63.68	1697
42550	NaN	NaN	2140.42	-40.87	66.93	2256.37	-39.9	63.69	2289.58	-40.17	60.79	1698
42600	NaN	NaN	2141.3	-41.27	70.19	2257.09	-39.25	73.53	2290.3	-39.63	62.84	1702
