%	"NGRIP, GRIP and GISP2 ?18O and calcium concentration in 50 yrs means on the GICC05modelext timescale"
%
%   Please note that this file has been modified for the SEAMUS tutorial by Bryan Lougheed (duplicate measurements averaged)
%   This file is, therefore, only meant for demonstration purposes for the SEAMUS tutorial and not to be used for research.
%   For the original data, please consult the original excel file by the original authors, which you can download from here: http://www.iceandclimate.nbi.ku.dk/data/
%
%	2	3	4	5	6	7	8	9	10	11	12	13
%Age	NGRIP1 depth	d18O NGRIP1	NGRIP2 depth	d18O NGRIP2	[Ca2+] NGRIP2	GRIP depth	d18O GRIP	[Ca2+] GRIP	GISP2 depth	d18O GISP2	[Ca2+] GISP2	MCE
%(years b2k)	(m)	(?)	(m)	(?)	(ppb)	(m)	(?)	(ppb)	(m)	(?)	(ppb)	(years)
2750	503.51	-35.23	NaN	NaN	NaN	584.18	-35.01	NaN	615.39	-35.01	5.34	3
2800	511.93	-34.89	NaN	NaN	NaN	593.13	-35.13	NaN	624.71	-34.56	7.18	3
2850	519.32	-35	NaN	NaN	NaN	602	-34.78	NaN	633.95	-34.98	6.7	3
2900	527.42	-35.12	NaN	NaN	NaN	610.85	-35.05	NaN	643.17	-34.58	6.28	3
2950	535.55	-34.85	NaN	NaN	NaN	619.98	-34.98	NaN	652.68	-34.71	6.16	3
3000	543.62	-34.68	NaN	NaN	NaN	628.8	-34.72	NaN	661.87	-34.55	6.68	3
3050	551.51	-35.05	NaN	NaN	NaN	637.33	-35	NaN	670.75	-35.1	6.34	3
3100	558.87	-35.14	NaN	NaN	NaN	646.13	-34.92	NaN	679.89	-34.8	6.06	3
3150	566.32	-34.84	NaN	NaN	NaN	654.18	-34.96	NaN	688.22	-34.59	6.04	4
3200	573.67	-35.02	NaN	NaN	NaN	662.73	-34.96	NaN	697.28	-34.72	5.96	4
3250	581.53	-35.23	NaN	NaN	NaN	671.35	-35.07	NaN	706.67	-34.65	5.82	4
3300	589.48	-35.2	NaN	NaN	NaN	679.7	-34.69	NaN	715.77	-34.53	6.5	4
3350	596.99	-34.81	NaN	NaN	NaN	688.18	-34.42	NaN	724.54	-34.12	6.16	4
3400	604.69	-35.13	NaN	NaN	NaN	696.6	-34.48	NaN	733.17	-34.73	7.03	4
3450	612.35	-34.67	NaN	NaN	NaN	705	-34.96	NaN	741.72	-35.13	8.55	4
3500	619.98	-35.17	NaN	NaN	NaN	713.35	-35.05	NaN	750.39	NaN	7.42	4
3550	627.35	-34.99	NaN	NaN	NaN	721.63	-34.71	NaN	759	-34.38	7.45	5
3600	634.92	-34.89	NaN	NaN	NaN	729.8	-34.7	NaN	767.19	-34.95	7.69	5
3650	642.62	-35.24	NaN	NaN	NaN	738.05	-35.09	NaN	776.18	-34.52	8.11	5
3700	650	-34.43	NaN	NaN	NaN	746.25	-35.04	NaN	784.7	-34.58	6.88	5
3750	657.64	-34.52	NaN	NaN	NaN	754.45	-34.35	NaN	792.92	-34.67	6.31	5
3800	664.95	-35.23	NaN	NaN	NaN	762.48	-34.95	NaN	800.98	-34.82	6.53	5
3850	672.63	-35.04	NaN	NaN	NaN	770.8	-34.99	NaN	809.45	-34.82	5.88	5
3900	680.06	-35.05	NaN	NaN	NaN	778.93	-34.61	NaN	818.2	-34.91	6.46	6
3950	686.92	-35.14	NaN	NaN	NaN	786.52	-35.07	NaN	826.33	-34.96	8.2	6
4000	694.49	-35.04	NaN	NaN	NaN	794.89	-34.76	NaN	834.99	-34.98	5.82	6
4050	702.33	-34.78	NaN	NaN	NaN	803.07	-34.67	NaN	843.34	-34.49	8.56	6
4100	710.13	-35.23	NaN	NaN	NaN	810.94	-34.62	NaN	851.38	-34.73	7.32	7
4150	717.2	-35.04	NaN	NaN	NaN	818.54	-34.63	NaN	859.14	-34.41	6.12	7
4200	724.12	-34.84	NaN	NaN	NaN	825.72	-34.91	NaN	866.47	-34.77	7.3	7
4250	731.25	-34.66	NaN	NaN	NaN	832.82	-34.95	NaN	873.72	-34.7	7.06	7
4300	738.22	-35.12	NaN	NaN	NaN	840.52	-34.79	NaN	881.66	-34.64	6.22	8
4350	745.34	-34.62	NaN	NaN	NaN	848.01	-34.96	NaN	889.44	-34.75	6.26	8
4400	752.45	-35.25	NaN	NaN	NaN	855.53	-34.84	NaN	897.25	-35.13	6.15	8
4450	759.24	-34.85	NaN	NaN	NaN	862.87	-34.62	NaN	904.88	-35.01	6.58	8
4500	765.89	-34.74	NaN	NaN	NaN	869.93	-34.78	NaN	912.21	-34.92	6.64	9
4550	772.3	-34.99	NaN	NaN	NaN	877.35	-34.93	NaN	919.92	-34.82	6.09	9
4600	779.48	-34.48	NaN	NaN	NaN	885.14	-34.84	NaN	928.2	-34.87	7.73	9
4650	786.41	-34.87	NaN	NaN	NaN	892.31	-34.97	NaN	936.19	-34.91	8.13	9
4700	793.03	-34.9	NaN	NaN	NaN	899.29	-34.96	NaN	943.18	-35.44	6.95	10
4750	799.91	-34.79	NaN	NaN	NaN	906.64	-34.83	NaN	950.98	-34.63	6.69	10
4800	807.06	-34.76	NaN	NaN	NaN	914.08	-35.36	NaN	958.89	-35.32	7.43	10
4850	813.55	-34.69	NaN	NaN	NaN	921.16	-34.82	NaN	966.42	NaN	8.34	10
4900	820.2	-34.79	NaN	NaN	NaN	927.81	-34.85	NaN	973.49	-34.57	6.17	11
4950	826.64	-34.52	NaN	NaN	NaN	934.2	-34.86	NaN	980.25	-34.68	6.37	11
5000	833.42	-34.6	NaN	NaN	NaN	941.35	-34.8	NaN	987.74	-34.52	6.3	11
5050	840.25	-34.65	NaN	NaN	NaN	948.24	-34.72	NaN	994.96	-34.75	8.23	11
5100	846.81	-34.78	NaN	NaN	NaN	955.76	-34.6	NaN	1002.85	-34.61	7.66	12
5150	854.01	-34.85	NaN	NaN	NaN	962.52	-34.75	NaN	1009.93	-34.77	8.57	12
5200	861.14	-34.51	NaN	NaN	NaN	970.08	-34.82	NaN	1017.94	-34.43	8.8	12
5250	868.25	-34.79	NaN	NaN	NaN	977.23	-34.94	NaN	1025.57	-34.59	8.62	12
5300	874.64	-34.84	NaN	NaN	NaN	983.9	-34.88	NaN	1032.69	-34.62	9.93	13
5350	880.83	-34.91	NaN	NaN	NaN	990.25	-35.24	NaN	1039.47	-35.05	9.27	13
5400	887.67	-35.04	NaN	NaN	NaN	997.26	-34.84	NaN	1046.96	-35.02	10.4	13
5450	894.42	-34.71	NaN	NaN	NaN	1003.95	-34.82	NaN	1054.1	-35.18	8.89	13
5500	901.2	-34.76	NaN	NaN	NaN	1010.67	-35.05	NaN	1061.11	-34.73	8.14	14
5550	907.86	-34.53	NaN	NaN	NaN	1017.22	-34.92	NaN	1067.7	-34.54	9.39	14
5600	914.42	-34.62	NaN	NaN	NaN	1024.05	-34.84	NaN	1074.58	-34.53	8.89	14
5650	920.79	-34.77	NaN	NaN	NaN	1030.76	-34.69	NaN	1081.34	-34.53	8.38	14
5700	927.19	-34.91	NaN	NaN	NaN	1037.16	-34.7	NaN	1087.79	-34.66	9.04	15
5750	933.35	-34.76	NaN	NaN	NaN	1043.48	-34.72	NaN	1094.16	-34.74	10.01	15
5800	939.77	-34.72	NaN	NaN	NaN	1049.96	-34.87	NaN	1100.68	-34.8	9.06	15
5850	946.15	-34.61	NaN	NaN	NaN	1056.42	-34.45	NaN	1107.23	-34.77	7.98	15
5900	953.03	-34.52	NaN	NaN	NaN	1063.03	-35.17	NaN	1114.02	-34.72	9.49	16
